STATION,STATION_NAME,DATE,HPCP
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 07:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 08:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 10:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 13:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 14:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871217 16:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 11:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 12:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 13:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 21:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19871229 22:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880101 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 03:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 04:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 09:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 10:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 11:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 12:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 13:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880105 15:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 01:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 02:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 03:00,0.10
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 04:00,0.10
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 05:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 06:00,0.15
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 07:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 08:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 09:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 10:00,0.11
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 11:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 13:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 14:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 17:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 18:00,0.12
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 19:00,0.32
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880117 21:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880201 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 01:00,0.19
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 02:00,0.22
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 03:00,0.15
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 04:00,0.09
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 05:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 06:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 07:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 08:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 09:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 10:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880202 12:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880227 06:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880227 07:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880227 21:00,0.06
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 03:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 04:00,0.20
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 05:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 06:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 07:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 09:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 10:00,0.07
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 11:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 12:00,0.12
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880228 13:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880229 07:00,0.03
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880229 08:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880229 09:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880229 10:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880229 17:00,0.13
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880229 21:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880229 22:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880301 00:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880301 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880301 05:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880301 07:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880301 08:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880302 00:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880302 01:00,0.04
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880401 01:00,0.00
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880414 13:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880414 14:00,0.08
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880414 15:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880414 16:00,0.12
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880414 17:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880414 18:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880414 19:00,0.07
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880414 20:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880414 23:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880415 01:00,0.05
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880415 02:00,0.01
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880419 08:00,0.02
COOP:045114,LOS ANGELES INTERNATIONAL AIRPORT CA US,19880419 16:00,0.01
